info face="rongorongo"
chars count=63
char id=32    x=486   y=486   width=4     height=4     xoffset=-1.500    yoffset=1.500     xadvance=20.563      page=0  chnl=0
char id=48    x=74    y=180   width=65    height=62    xoffset=-1.500    yoffset=60.188    xadvance=62.188      page=0  chnl=0
char id=49    x=73    y=61    width=30    height=62    xoffset=-1.500    yoffset=59.813    xadvance=27.625      page=0  chnl=0
char id=50    x=391   y=180   width=21    height=61    xoffset=-1.500    yoffset=59.000    xadvance=19.125      page=0  chnl=0
char id=51    x=486   y=363   width=25    height=61    xoffset=-1.563    yoffset=59.375    xadvance=21.125      page=0  chnl=0
char id=52    x=103   y=61    width=28    height=62    xoffset=-1.563    yoffset=59.625    xadvance=25.063      page=0  chnl=0
char id=53    x=180   y=365   width=23    height=62    xoffset=-1.500    yoffset=59.625    xadvance=20.125      page=0  chnl=0
char id=54    x=139   y=241   width=42    height=62    xoffset=-1.500    yoffset=59.813    xadvance=41.063      page=0  chnl=0
char id=55    x=320   y=302   width=57    height=61    xoffset=-1.500    yoffset=59.313    xadvance=55.125      page=0  chnl=0
char id=56    x=38    y=184   width=31    height=62    xoffset=-1.500    yoffset=59.625    xadvance=27.625      page=0  chnl=0
char id=57    x=329   y=180   width=31    height=61    xoffset=-1.500    yoffset=59.000    xadvance=28.500      page=0  chnl=0
char id=65    x=359   y=241   width=36    height=61    xoffset=-1.500    yoffset=58.563    xadvance=33.000      page=0  chnl=0
char id=66    x=321   y=241   width=38    height=61    xoffset=-1.500    yoffset=59.188    xadvance=35.938      page=0  chnl=0
char id=67    x=377   y=302   width=51    height=61    xoffset=-1.500    yoffset=59.188    xadvance=49.000      page=0  chnl=0
char id=68    x=476   y=302   width=36    height=61    xoffset=-1.500    yoffset=59.188    xadvance=34.375      page=0  chnl=0
char id=69    x=263   y=241   width=58    height=61    xoffset=-1.500    yoffset=59.000    xadvance=56.313      page=0  chnl=0
char id=70    x=431   y=425   width=55    height=61    xoffset=-1.500    yoffset=59.250    xadvance=54.750      page=0  chnl=0
char id=71    x=431   y=363   width=55    height=62    xoffset=-1.500    yoffset=59.625    xadvance=59.938      page=0  chnl=0
char id=72    x=376   y=425   width=54    height=62    xoffset=-1.500    yoffset=59.625    xadvance=51.938      page=0  chnl=0
char id=73    x=139   y=427   width=40    height=62    xoffset=-1.500    yoffset=59.625    xadvance=38.688      page=0  chnl=0
char id=74    x=263   y=302   width=57    height=62    xoffset=-1.500    yoffset=59.813    xadvance=55.875      page=0  chnl=0
char id=75    x=263   y=426   width=48    height=62    xoffset=-1.500    yoffset=59.625    xadvance=45.625      page=0  chnl=0
